frequency,callsign,city,sp,antenna_type,erp,lat,lon,class,slogan,haat,owner,format,market
88.3,WANH,MEREDITH,NH,NDIR,0.38,43.68561111111111,71.4858888888889,A,NEW HAMPSHIRE GOSPEL RADIO,123.0,"NEW HAMPSHIRE GOSPEL RADIO, INC.",Religious Teaching,Concord
105.1,WBNH-LP,BEDFORD,NH,NDIR,0.1,42.946749999999994,71.51505555555555,LP100,,-0.6,"TOWN OF BEDFORD, NEW HAMPSHIRE",Rock,Boston
96.1,WBUB-LP,PORTSMOUTH,NH,NDIR,0.1,43.09861111111111,70.74416666666667,LP100,,17.0,CULTURAL MEDIA CONNECTION,Variety,"Portland, ME"
98.7,WBYY,SOMERSWORTH,NH,DRL,6.0,43.236472222222226,70.89311111111111,A,,96.0,"WBIN MEDIA CO., INC.",Classic Hits,Portsmouth-Dover-Rochester
97.3,WCGY-FM,Jefferson,NH,NDIR,6.0,44.36486111111111,71.38911111111112,A,MOUNTAIN COUNTRY 97.3,-83.0,"Lakes Media, LLC",Country,
90.5,WCNH,CONCORD,NH,DRL,0.53,43.21472222222223,71.57388888888889,A,CLASSICAL NEW HAMPSHIRE,100.0,"New Hampshire Public Radio, Inc.",Classical,Concord
92.1,WDER-FM,PETERBOROUGH,NH,NDIR,0.17,42.861472222222226,71.87866666666666,A,LIFE CHANGING RADIO 1320 AM - 92.1 FM,423.0,"BLOUNT COMMUNICATIONS, INC. OF NH",Religious Teaching,Boston
93.5,WEEY,SWANZEY,NH,NDIR,2.0,42.91591666666667,72.33063888888888,A,WEEI SPORS RADIO NETWORK,175.0,"Great Eastern Radio, LLC",Sports,
107.1,WERZ,EXETER,NH,DRL,5.2,43.02730555555556,70.88030555555555,A,Z 107,106.0,iHeartMedia,Contemporary Hit Radio,Portsmouth-Dover-Rochester
107.1,WEVC,GORHAM,NH,NDIR,6.0,44.45861111111111,71.17358333333334,A,NH PUBLIC RADIO,-4.1,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,
90.3,WEVF,COLEBROOK,NH,NDIR,0.27,44.94697222222222,71.34033333333333,A,NH PUBLIC RADIO,245.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,
91.3,WEVH,HANOVER,NH,NDIR,0.6,43.70891666666667,72.15405555555556,C3,NH PUBLIC RADIO,369.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,Lebanon-Hanover-White River Junction
99.5,WEVJ,JACKSON,NH,NDIR,4.7,44.17505555555555,71.16811111111112,A,NH PUBLIC RADIO,52.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,Concord
90.7,WEVN,KEENE,NH,DRL,1.5,43.03341666666667,72.36730555555555,B1,NH PUBLIC RADIO,286.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,
89.1,WEVO,CONCORD,NH,NDIR,50.0,43.21480555555556,71.57397222222222,B,NH PUBLIC RADIO,116.0,"New Hampshire Public Radio, Inc.",News/Talk,Concord
91.9,WEVQ,LITTLETON,NH,DRL,0.58,44.35302777777778,71.73747222222222,A,NEW HAMPSHIRE PUBLIC RADIO,311.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,Lebanon-Hanover-White River Junction
88.3,WEVS,NASHUA,NH,DRL,5.0,42.749472222222224,71.48041666666667,A,NEW HAMPSHIRE PUBLIC RADIO,21.0,"NEW HAMPSHIRE PUBLIC RADIO, INCORPORATED",News/Talk,Boston
95.1,WEVX-LP,DERRY,NH,NDIR,0.1,42.881861111111114,71.327,LP100,DERRY'S EVOLUTION RADIO,22.1422,"TOWN OF DERRY, NEW HAMPSHIRE",Variety,Portsmouth-Dover-Rochester
106.3,WFNQ,NASHUA,NH,DRL,6.0,42.826750000000004,71.50227777777778,A,106.3 FRANK FM,81.0,"WBIN MEDIA CO., INC.",Classic Hits,Boston
105.3,WFPC-LP,RINDGE,NH,NDIR,0.1,42.781194444444445,72.05672222222222,LP100,,18.0,FRANKLIN PIERCE COLLEGE,Variety,
99.3,WFRD,HANOVER,NH,NDIR,6.0,43.65397222222222,72.29513888888889,A,99 ROCK,100.0,"Sugar River Media, LLC",Rock,Lebanon-Hanover-White River Junction
94.1,WFTN-FM,FRANKLIN,NH,DRL,6.0,43.473333333333336,71.60586111111111,A,MIX 94.1,100.0,NORTHEAST COMMUNICATIONS CORPORATION,Contemporary Hit Radio,Concord
96.3,WFYX,WALPOLE,NH,NDIR,0.6,43.137277777777776,72.43258333333334,A,THE PENGUIN,124.0,"Great Eastern Radio, LLC",Adult Hits,
101.1,WGIR-FM,MANCHESTER,NH,NDIR,11.5,42.981750000000005,71.58866666666667,B,ROCK 101,313.0,iHeartMedia,Rock,Boston
92.3,WGXL,HANOVER,NH,NDIR,6.0,43.654777777777774,72.29424999999999,A,92.3 WGXL MOST MUSIC VARIETY,99.0,"Great Eastern Radio, LLC",Hot AC,Lebanon-Hanover-White River Junction
106.1,WHDQ,CLAREMONT,NH,NDIR,1.6,43.43758333333333,72.45175,B,Q-106,685.0,"Great Eastern Radio, LLC",Classic Rock,Lebanon-Hanover-White River Junction
100.3,WHEB,PORTSMOUTH,NH,NDIR,50.0,43.05313888888889,70.76725,B,WHEB HOME OF THE MORNING BUZ,140.0,iHeartMedia,Rock,Portsmouth-Dover-Rochester
94.9,WHOM,MOUNT WASHINGTON,NH,NDIR,50.0,44.269777777777776,71.30366666666666,C,WHOM 94.9,1141.0,"Townsquare License, LLC",Adult Contemporary,
102.7,WICX-LP,CONCORD,NH,NDIR,0.01,43.21602777777778,71.57463888888888,LP100,ETNERAL WORK NETWORK,92.0,NEW HAMPSHIRE CATHOLIC COMMUNITY RADIO,Religious Teaching,Concord
98.7,WINQ-FM,WINCHESTER,NH,NDIR,2.15,42.91591666666667,72.33091666666667,A,98.7 WINK FM,169.0,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Country,
91.1,WJNH,CONWAY,NH,DRL,0.8,43.80880555555555,71.21483333333333,A,WORD RADIO,273.0,"New Hampshire Gospel Radio, Inc.",Religious Teaching,Concord
105.5,WJYY,CONCORD,NH,NDIR,1.35,43.278416666666665,71.50505555555556,A,105.5 JYY,151.0,"WBIN MEDIA CO., INC.",Hot AC,Concord
103.7,WKNE,KEENE,NH,NDIR,12.0,43.03333333333333,72.36722222222221,B,103.7 KNE FM,302.0,"Saga Communications of New England, LLC",Hot AC,
91.3,WKNH,KEENE,NH,NDIR,0.275,42.92672222222222,72.28119444444444,A,INDEPENDENT RADIO,-118.0,University System of New Hampshire,Adult Alternative,
105.7,WLKC,CAMPTON,NH,DRL,4.1,43.76258333333333,71.64952777777779,A,K-LOVE,119.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Lebanon-Hanover-White River Junction
104.9,WLKZ,WOLFEBORO,NH,NDIR,0.62,43.546,71.37808333333332,A,THE HAWK 104.9,310.0,"LAKES MEDIA, LLC",Classic Rock,Concord
90.7,WLMW,MANCHESTER,NH,DRL,0.015,42.98313888888889,71.58977777777777,A,NH FAMILY RADIO,265.0,KNOWLEDGE FOR LIFE,Contemporary Christian,Boston
98.3,WLNH-FM,LACONIA,NH,DRL,0.7,43.51702777777778,71.36869444444444,C3,,547.0,"WBIN MEDIA CO., INC.",Classic Hits,Concord
96.7,WLTN-FM,LISBON,NH,NDIR,6.0,44.21977777777778,71.86813888888888,A,MIX 96.7,90.0,"PROFILE BROADCASTING, LLC",Adult Contemporary,Lebanon-Hanover-White River Junction
105.7,WLWM-LP,CHARLESTOWN,NH,NDIR,0.1,43.237,72.42786111111111,LP100,,-65.054741,"THE LIVING WORD MINISTRIES OF CHARLESTOWN, NH",Religious Teaching,Lebanon-Hanover-White River Junction
105.9,WMEX-LP,ROCHESTER,NH,NDIR,0.027,43.28536111111111,70.94088888888889,LP100,,57.0,ROCHESTER RADIO,Oldies,Portsmouth-Dover-Rochester
96.5,WMLL,BEDFORD,NH,DRL,0.73,42.98397222222222,71.58894444444444,A,96.5 LIVE FREE COUNTRY,285.0,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Country,Boston
95.3,WMNH-LP,MANCHESTER,NH,NDIR,0.09,42.99294444444445,71.46338888888889,LP100,,32.0,MANCHESTER PUBLIC TELEVISION SERVICE,Variety,Boston
106.3,WMTK,LITTLETON,NH,NDIR,0.39,44.35302777777778,71.73747222222222,A,THE NOTCH,372.0,"VERMONT BROADCAST ASSOCIATES, INC.",Classic Hits,Lebanon-Hanover-White River Junction
93.5,WMWV,CONWAY,NH,NDIR,1.85,43.94672222222222,71.13950000000001,A,93.5 MWV,129.0,"MT. WASHINGTON RADIO & GRAMOPHONE, L.L.C.",Adult Alternative,Concord
91.7,WNEC-FM,HENNIKER,NH,OTS,0.12,43.17616666666667,71.82227777777777,A,FM ALTERNATIVE RADIO,-64.0,NEW ENGLAND COLLEGE,Adult Alternative,Concord
106.5,WNHI,FARMINGTON,NH,DRL,2.9,43.40033333333333,71.15700000000001,A,AIR1,148.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Portsmouth-Dover-Rochester
94.7,WNHN-LP,CONCORD,NH,NDIR,0.045,43.21147222222223,71.56786111111111,LP100,,45.0,"NH NEWS, VIEWS, AND BLUES",Variety,Concord
93.3,WNHW,BELMONT,NH,NDIR,0.3,43.39783333333333,71.55033333333333,A,93.3 THE WOLF,311.0,"WBIN MEDIA CO., INC.",Country,Concord
103.1,WNHZ-LP,LITTLETON,NH,NDIR,0.1,44.313111111111105,71.76841666666667,LP100,BEAUTIFUL MUSIC 103.1,-21.4,"RADIO AMERICA MEDIA, CORP.",Easy Listening,Lebanon-Hanover-White River Junction
99.1,WNNH,HENNIKER,NH,DRL,2.8,43.21366666666667,71.68811111111111,A,99.1 THE BONE,146.0,"WBIN MEDIA CO., INC.",Rock,Concord
99.7,WNTK-FM,NEW LONDON,NH,DRL,1.45,43.44841666666667,72.03397222222222,A,THE TALK STATION,206.0,"SUGAR RIVER MEDIA, LLC",Talk,Lebanon-Hanover-White River Junction
97.5,WOKQ,DOVER,NH,NDIR,50.0,43.22394444444445,70.97116666666666,B,THE BIG 97.5,150.0,"Townsquare License, LLC",Country,Portsmouth-Dover-Rochester
97.1,WOXX,COLEBROOK,NH,NDIR,0.7,44.87986111111111,71.48088888888888,A,THE OUTLAW,-69.5,WHITE MOUNTAINS BROADCASTING LLC,Classic Rock,
91.7,WPCR-FM,PLYMOUTH,NH,OTS,0.215,43.757,71.68922222222223,A,,-115.0,University System of New Hampshire,Adult Alternative,Lebanon-Hanover-White River Junction
90.5,WPEA,EXETER,NH,OTS,0.1,42.978972222222225,70.9495,A,,10.0,TRUSTEES OF THE PHILLIPS EXETER ACADEMY,Variety,Portsmouth-Dover-Rochester
103.7,WPKQ,NORTH CONWAY,NH,DRL,22.5,44.27033333333333,71.30422222222222,C,WCYY,1159.0,"Townsquare License, LLC",Rock,
100.1,WPNH-FM,PLYMOUTH,NH,NDIR,0.41,43.739222222222224,71.79033333333334,A,THE PLANET,376.0,NORTHEAST COMMUNICATIONS CORPORATION,Rock,Lebanon-Hanover-White River Junction
96.7,WQSO,ROCHESTER,NH,OTS,3.0,43.287305555555555,70.94644444444445,A,NEWS RADIO 96.7,100.0,iHeartMedia,News/Talk,Portsmouth-Dover-Rochester
102.1,WSAK,HAMPTON,NH,NDIR,3.0,42.89758333333333,70.8833888888889,A,THE SHARK,100.0,"Townsquare License, LLC",Classic Hits,Portsmouth-Dover-Rochester
106.1,WSCA-LP,PORTSMOUTH,NH,NDIR,0.1,43.10102777777778,70.81216666666667,LP100,,28.862221,SEACOAST ARTS AND CULTURAL ALLIANCE,Variety,Portsmouth-Dover-Rochester
90.9,WSCS,NEW LONDON,NH,NDIR,0.25,43.41144444444444,71.97536111111111,A,CLASSICAL WSCS,91.0,"SUGAR RIVER FOUNDATION, INC.",Classical,Concord
106.9,WSCY,MOULTONBOROUGH,NH,NDIR,4.3,43.59619444444445,71.49813888888889,A,106.9 NEW HIT COUNTRY,118.8,NORTHEAST COMMUNICATIONS CORPORATION,Country,Concord
97.7,WSNI,KEENE,NH,NDIR,2.15,42.91591666666667,72.33091666666667,A,SUNNY 97-7,169.0,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Adult Contemporary,
89.7,WSSH,LISBON,NH,NDIR,0.13,44.21977777777778,71.86813888888888,A,WISH COUNTRY 89.7,90.0,"NOSTALGIA ONE PUBLIC RADIO, INC.",Country,Lebanon-Hanover-White River Junction
107.7,WTPL,HILLSBORO,NH,DRL,1.25,43.154777777777774,71.79505555555555,A,THE PULSE OF NH,217.0,"WBIN MEDIA CO., INC.",News/Talk/Sports,Concord
88.7,WUMV,MILFORD,NH,DRL,0.67,42.832861111111114,71.72866666666667,A,,12.0,UNIVERSITY OF MASSACHUSETTS,Variety,Boston
91.3,WUNH,DURHAM,NH,DRL,6.0,43.15647222222222,70.94005555555556,A,THE FREEWAVES WUNH,78.0,University System of New Hampshire,,Portsmouth-Dover-Rochester
90.5,WVFA,LEBANON,NH,NDIR,0.015,43.61563888888889,72.17286111111112,A,WE'RE THE VALLEYS FRESH ALTERNATIVE,187.0,"GREEN MOUNTAIN EDUCATIONAL FELLOWSHIP, INC.",Contemporary Christian/Southern Gospel,Lebanon-Hanover-White River Junction
89.9,WVKJ,DUBLIN,NH,DRL,4.5,42.899499999999996,72.1206111111111,A,A VOICE FOR KING JESUS,115.0,THE KINGDOM CHRISTIAN MINISTRIES,Religious Teaching,
104.5,WVMJ,CONWAY,NH,NDIR,1.85,43.94672222222222,71.13950000000001,A,MAGIC 104,130.8,"MT. WASHINGTON RADIO & GRAMOPHONE, L.L.C.",Hot AC,Concord
91.1,WVNH,CONCORD,NH,NDIR,0.64,43.39822222222222,71.42294444444445,A,NEW HAMPSHIRE GOSPEL RADIO,105.0,"NEW HAMPSHIRE GOSPEL RADIO, INC.",Contemporary Christian/Religious Teaching,Concord
101.5,WWLK-FM,MEREDITH,NH,NDIR,6.0,43.59616666666667,71.49811111111111,A,LAKES 101.5,100.0,"LAKES MEDIA, LLC",Soft AC,Concord
94.1,WWOX,MILAN,NH,NDIR,6.0,44.48283333333333,71.17672222222222,A,THE OUTLAW,-21.4,"WHITE MOUNTAINS BROADCASTING, LLC",Classic Rock,
91.7,WWPC,NEW DURHAM,NH,NDIR,0.15,43.40033333333333,71.15700000000001,A,WORD RADIO,152.0,WORD RADIO EDUCATIONAL FOUNDATION,Religious Teaching,Portsmouth-Dover-Rochester
103.5,WXGR-LP,DOVER,NH,NDIR,0.013,43.17425,70.77919444444444,LP100,,84.0,SEACOAST COMMUNITY RADIO,Variety,"Portland, ME"
100.5,WXXK,LEBANON,NH,NDIR,22.0,43.655055555555556,72.29452777777777,C3,KIXX COUNTRY,99.0,"Great Eastern Radio, LLC",Country,Lebanon-Hanover-White River Junction
102.3,WXXS,LANCASTER,NH,NDIR,1.5,44.39422222222222,71.65508333333334,C3,KISS 102.3,294.0,"RADIO NEW ENGLAND BROADCASTING, LLC",Hot AC,
90.5,WYDI,DERRY,NH,DRL,0.6,42.88619444444444,71.34005555555555,A,FM 90.1 RENEW,82.0,HORIZON CHRISTIAN FELLOWSHIP,Religious Teaching,Portsmouth-Dover-Rochester
99.1,WYKC,WHITEFIELD,NH,DRL,0.45,44.352833333333336,71.73702777777778,A,K-LOVE,346.0,EDUCATIONAL MEDIA FOUNDATION,Contemporary Christian,Lebanon-Hanover-White River Junction
101.3,WYKR-FM,HAVERHILL,NH,NDIR,3.0,44.11366666666667,71.98119444444444,A,YOUR COUNTRY,12.0,Yankee Kingdom Media Corp,Country,Lebanon-Hanover-White River Junction
104.9,WYRY,HINSDALE,NH,DRL,4.1,42.77591666666667,72.45425,A,NASH ICON 104.9,122.0,"Tri-Valley Broadcasting, LLC",Country,
95.7,WZID,MANCHESTER,NH,NDIR,14.5,42.98397222222222,71.58894444444444,B,95.7 WZID,282.0,"SAGA COMMUNICATIONS OF NEW ENGLAND, LLC",Adult Contemporary,Boston
99.9,WZNC-LP,BETHLEHEM,NH,NDIR,0.1,44.28,71.69019444444444,LP100,NCCR,-5.0,FRIENDS OF THE COLONIAL,Variety,Lebanon-Hanover-White River Junction
